Quarter,Time,Down,ToGo,Location,Detail,CHI,CLE,EPB,EPA
4,3:43,,,CLE 35,Chase McLaughlin kicks off 65 yards touchback.,6,26,0.000,0.610
4,3:43,1,10,CHI 25,Justin Fields pass complete short left to David Montgomery for 10 yards (tackle by Elijah Lee),6,26,0.610,1.270
4,3:17,1,10,CHI 35,Justin Fields pass incomplete short left intended for David Montgomery (defended by Jeremiah Owusu-Koramoah),6,26,1.270,0.720
4,3:13,2,10,CHI 35,Justin Fields pass incomplete short left intended for Cole Kmet,6,26,0.720,0.040
4,3:08,3,10,CHI 35,Justin Fields pass incomplete short right intended for Allen Robinson,6,26,0.040,-1.040
4,3:02,4,10,CHI 35,Justin Fields sacked by Jadeveon Clowney for -14 yards,6,26,-1.040,-4.170
4,2:56,1,10,CHI 21,D'Ernest Johnson right tackle for 5 yards (tackle by Christian Jones),6,26,4.170,4.370
4,2:09,2,5,CHI 16,D'Ernest Johnson left guard for 4 yards (tackle by Margus Hunt),6,26,4.370,4.490
4,2:00,3,1,CHI 12,Case Keenum up the middle for 2 yards (tackle by Roquan Smith),6,26,4.490,4.910
4,1:16,1,10,CHI 10,Case Keenum kneels for -1 yards,6,26,4.910,4.020
4,0:38,2,11,CHI 11,Case Keenum kneels for -1 yards,6,26,4.020,3.100
